ticker,qty,timestamp,close,adj close,volume,div amt
STZ,100.0,2008-11-28,12.7600,11.9586,61381300,0.0000
STZ,100.0,2008-10-31,12.5400,11.7524,56910200,0.0000
STZ,100.0,2008-09-30,21.4600,20.1122,41162200,0.0000
STZ,100.0,2008-08-29,21.1100,19.7841,33639900,0.0000
STZ,100.0,2008-07-31,21.5200,20.1684,55561700,0.0000
STZ,100.0,2008-06-30,19.8600,18.6126,41344200,0.0000
STZ,100.0,2008-05-30,21.3200,19.9809,49017700,0.0000
STZ,100.0,2008-04-30,18.3600,17.2069,43469300,0.0000
STZ,100.0,2008-03-31,17.6700,16.5602,45628900,0.0000
STZ,100.0,2008-02-29,19.2100,18.0035,33493400,0.0000
STZ,100.0,2008-01-31,20.9000,19.5873,45220400,0.0000
STZ,100.0,2007-12-31,23.6400,22.1552,24437600,0.0000
STZ,100.0,2007-11-30,23.5500,22.0709,29055900,0.0000
STZ,100.0,2007-10-31,25.1200,23.5423,36653900,0.0000
STZ,100.0,2007-09-28,24.2100,22.6894,21353400,0.0000
STZ,100.0,2007-08-31,24.1800,22.6613,48265300,0.0000
STZ,100.0,2007-07-31,21.9300,20.5526,50426100,0.0000
STZ,100.0,2007-06-29,24.2800,22.7550,46928400,0.0000
STZ,100.0,2007-05-31,24.3000,22.7738,66704300,0.0000
STZ,100.0,2007-04-30,22.4100,21.0025,47967800,0.0000
STZ,100.0,2007-03-30,21.1800,19.8497,90689700,0.0000
STZ,100.0,2007-02-28,23.4600,21.9865,41534700,0.0000
STZ,100.0,2007-01-31,24.7400,23.1861,47749200,0.0000
STZ,100.0,2006-12-29,29.0200,27.1973,16998400,0.0000
STZ,100.0,2006-11-30,27.9800,26.2226,23383900,0.0000
STZ,100.0,2006-10-31,27.4900,25.7634,44794300,0.0000
STZ,100.0,2006-09-29,28.7800,26.9724,27695000,0.0000
STZ,100.0,2006-08-31,27.2900,25.5760,25626400,0.0000
STZ,100.0,2006-07-31,24.4600,22.9237,23896600,0.0000
STZ,100.0,2006-06-30,25.0000,23.4298,24490900,0.0000
STZ,100.0,2006-05-31,24.7000,23.1487,19731900,0.0000
STZ,100.0,2006-04-28,24.7000,23.1487,30412500,0.0000
STZ,100.0,2006-03-31,25.0500,23.4767,24574200,0.0000
STZ,100.0,2006-02-28,26.3400,24.6856,25642900,0.0000
STZ,100.0,2006-01-31,26.6900,25.0137,29958000,0.0000
STZ,100.0,2005-12-30,26.2300,24.5826,29643100,0.0000
STZ,100.0,2005-11-30,23.6200,22.1365,27203700,0.0000
STZ,100.0,2005-10-31,23.5400,22.0615,40036900,0.0000
STZ,100.0,2005-09-30,26.0000,24.3670,27439700,0.0000
STZ,100.0,2005-08-31,27.5200,25.7915,23276500,0.0000
STZ,100.0,2005-07-29,27.4000,25.6791,43846500,0.0000
STZ,100.0,2005-06-30,29.5000,27.6472,28760000,0.0000
STZ,100.0,2005-05-31,27.8100,26.0633,18541400,0.0000
STZ,100.0,2005-04-29,52.7100,24.6997,20634000,0.0000
STZ,100.0,2005-03-31,52.8700,24.7747,11409000,0.0000
STZ,100.0,2005-02-28,53.5300,25.0840,14093600,0.0000
STZ,100.0,2005-01-31,51.9200,24.3295,13236800,0.0000
STZ,100.0,2004-12-31,46.5100,21.7944,8461500,0.0000
STZ,100.0,2004-11-30,44.7000,20.9463,13027000,0.0000
STZ,100.0,2004-10-29,39.2300,18.3830,11043800,0.0000
STZ,100.0,2004-09-30,38.0600,17.8348,9897600,0.0000
STZ,100.0,2004-08-31,36.7700,17.2303,7848700,0.0000
STZ,100.0,2004-07-30,37.8800,17.7504,13830100,0.0000
STZ,100.0,2004-06-30,37.1300,17.3990,9287600,0.0000
STZ,100.0,2004-05-28,36.0000,16.8695,8836700,0.0000
STZ,100.0,2004-04-30,33.1300,15.5246,9628000,0.0000
STZ,100.0,2004-03-31,32.1000,15.0419,19065400,0.0000
STZ,100.0,2004-02-27,31.7000,14.8545,18009200,0.0000
STZ,100.0,2004-01-30,33.5400,15.7167,11148100,0.0000
STZ,100.0,2003-12-31,32.9300,15.4309,10924200,0.0000
STZ,100.0,2003-11-28,34.5100,16.1713,9635600,0.0000
STZ,100.0,2003-10-31,31.3700,14.6999,11901300,0.0000
STZ,100.0,2003-09-30,30.4900,14.2875,14178700,0.0000
STZ,100.0,2003-08-29,28.7500,13.4721,13392000,0.0000
STZ,100.0,2003-07-31,28.8500,13.5190,28334500,0.0000
STZ,100.0,2003-06-30,31.4000,14.7139,12404600,0.0000
STZ,100.0,2003-05-30,27.5700,12.9192,10537200,0.0000
STZ,100.0,2003-04-30,26.8100,12.5631,12356900,0.0000
STZ,100.0,2003-03-31,22.7000,10.6371,10401700,0.0000
STZ,100.0,2003-02-28,24.6300,11.5415,5830400,0.0000
STZ,100.0,2003-01-31,25.0700,11.7477,13491700,0.0000
STZ,100.0,2002-12-31,23.7100,11.1104,8143500,0.0000
STZ,100.0,2002-11-29,23.5200,11.0214,11389800,0.0000
STZ,100.0,2002-10-31,25.3300,11.8695,11280400,0.0000
STZ,100.0,2002-09-30,23.1000,10.8246,14688300,0.0000
STZ,100.0,2002-08-30,28.4100,13.3128,9381100,0.0000
STZ,100.0,2002-07-31,28.7400,13.4675,11513200,0.0000
STZ,100.0,2002-06-28,32.0000,14.9951,12632200,0.0000
STZ,100.0,2002-05-31,29.4700,13.8095,14731400,0.0000
STZ,100.0,2002-04-30,60.4000,14.1516,4509800,0.0000
STZ,100.0,2002-03-28,54.9600,12.8770,3773300,0.0000
STZ,100.0,2002-02-28,54.3500,12.7341,6488800,0.0000
STZ,100.0,2002-01-31,47.8700,11.2159,7355900,0.0000
STZ,100.0,2001-12-31,42.8500,10.0397,4555200,0.0000
STZ,100.0,2001-11-30,37.9000,8.8799,7420100,0.0000
STZ,100.0,2001-10-31,41.0400,9.6156,6856500,0.0000
STZ,100.0,2001-09-28,41.6600,9.7609,6417900,0.0000
STZ,100.0,2001-08-31,42.3500,9.9225,5190200,0.0000
STZ,100.0,2001-07-31,42.1200,9.8686,5682900,0.0000
STZ,100.0,2001-06-29,41.0000,9.6062,5409900,0.0000
STZ,100.0,2001-05-31,38.6500,9.0556,3215800,0.0000
STZ,100.0,2001-04-30,65.2500,7.6440,4002700,0.0000
STZ,100.0,2001-03-30,71.7500,8.4054,5077100,0.0000
STZ,100.0,2001-02-28,63.8500,7.4800,2141600,0.0000
STZ,100.0,2001-01-31,67.4100,7.8970,3138000,0.0000
STZ,100.0,2000-12-29,58.7500,6.8825,1511900,0.0000
STZ,100.0,2000-11-30,49.0000,5.7403,1459400,0.0000
STZ,100.0,2000-10-31,48.7500,5.7110,2488400,0.0000
STZ,100.0,2000-09-29,54.3100,6.3624,1516300,0.0000
STZ,100.0,2000-08-31,53.8800,6.3120,2716200,0.0000
STZ,100.0,2000-07-31,49.3800,5.7848,1560200,0.0000
