timestamp,open,high,low,close,adj close,volume,div amt
2015-11-30,78.4900,80.5100,73.1000,79.5700,72.2344,75937301,0.0000
2015-10-30,73.3700,81.4600,71.8500,78.0000,70.8092,82851559,0.0000
2015-09-30,80.2700,81.9500,73.3700,74.0000,67.1779,80744129,0.6000
2015-08-31,94.5000,97.4900,76.7600,81.7800,73.6417,79340812,0.0000
2015-07-31,97.5300,97.7000,90.6400,94.5700,85.1589,55436343,0.0000
2015-06-30,93.8200,98.2300,91.2400,97.0500,87.3921,59907285,0.6000
2015-05-29,91.0000,94.8800,88.1300,93.6800,83.8358,63383784,0.0000
2015-04-30,87.7600,91.0000,87.3850,90.5200,81.0079,47592598,0.0000
2015-03-31,90.4000,92.3990,86.9100,87.6900,78.4753,60420491,0.6000
2015-02-27,85.5300,92.7800,84.8500,90.6000,80.5271,51410538,0.0000
2015-01-30,88.7900,89.7150,84.2900,85.1900,75.7186,58726123,0.0000
2014-12-31,87.9500,91.3800,86.3850,88.4700,78.6339,59971130,0.6000
2014-11-28,85.5000,89.2800,83.8000,86.6200,76.4805,66283254,0.0000
2014-10-31,81.8100,88.5650,78.8800,85.5400,75.5269,102568046,0.0000
2014-09-30,84.0100,84.5800,81.5500,81.9900,72.3925,80782146,0.6000
2014-08-29,85.2200,87.3900,83.1000,84.0900,73.7127,74860400,0.0000
2014-07-31,90.8100,91.5000,84.5300,85.1100,74.6068,72332000,0.0000
2014-06-30,91.2900,93.7800,89.7700,90.5500,79.3755,47384000,0.6000
2014-05-30,93.1500,94.8900,88.6300,91.1700,79.3921,51553600,0.0000
2014-04-30,90.9800,94.5850,90.6200,93.3400,81.2817,57738900,0.0000
2014-03-31,85.6300,90.9800,85.3000,90.8000,79.0699,64842800,0.5100
2014-02-28,85.7900,88.0600,83.4100,85.9300,74.3972,60327200,0.0000
2014-01-31,90.9500,91.3000,85.2938,85.9600,74.4231,61385500,0.0000
2013-12-31,84.2600,91.5800,82.2000,91.3300,79.0724,70307700,0.5100
2013-11-29,81.8400,85.4900,80.7600,84.2400,72.5262,70198900,0.0000
2013-10-31,81.2500,84.7500,81.1900,81.8400,70.4599,63189300,0.0000
2013-09-30,84.3100,85.3400,81.1900,81.3900,70.0725,57833700,0.5100
2013-08-30,83.7400,85.6800,80.5000,83.6400,71.5703,84384600,0.0000
2013-07-31,81.8800,85.4950,80.5100,83.0700,71.0825,62853700,0.0000
2013-06-28,87.5100,88.7900,79.5000,81.2500,69.5252,64875500,0.5100
2013-05-31,88.8100,93.8800,85.6500,87.1100,74.0796,78949900,0.0000
2013-04-30,86.1900,90.0000,81.5800,89.3000,75.9420,60285000,0.0000
2013-03-28,87.7300,92.5000,85.1500,85.9800,73.1187,60209800,0.5100
2013-02-28,94.8700,95.1100,85.4300,87.8300,74.2579,62970000,0.0000
2013-01-31,87.9700,95.6010,87.2000,94.0600,79.5252,55661000,0.0000
2012-12-31,84.1800,87.2100,82.9500,86.4200,73.0658,48798800,0.4600
2012-11-30,85.6300,87.5000,82.0600,84.0500,70.6837,69160900,0.0000
2012-10-31,83.1100,87.1300,79.7500,85.4400,71.8526,62671100,0.0000
2012-09-28,74.9800,83.4500,73.6200,82.4700,69.3549,72488100,0.4600
2012-08-31,77.5300,80.3900,73.1400,75.1100,62.8105,117881700,0.0000
2012-07-31,81.0000,82.4600,72.8500,76.8200,64.2405,78360800,0.0000
2012-06-29,71.6800,80.8800,69.5100,80.8700,67.6273,76495600,0.4600
2012-05-31,83.2200,83.9200,71.8600,73.8700,61.4117,84418200,0.0000
2012-04-30,80.6200,83.2500,75.9200,82.3600,68.4699,74423400,0.0000
2012-03-30,83.0000,83.8400,78.6900,80.9000,67.2561,86141300,0.4600
2012-02-29,87.2700,89.6993,82.1900,82.9300,68.5514,77347100,0.0000
2012-01-31,79.1200,88.8900,78.8400,86.1500,71.2131,78903000,0.0000
2011-12-30,78.6500,79.7000,73.2300,77.3500,63.9388,72194200,0.4100
2011-11-30,72.6200,79.3000,70.5200,79.2500,65.1621,99813300,0.0000
2011-10-31,63.9000,78.9900,59.9200,75.9000,62.4076,117317100,0.0000
2011-09-30,80.7300,82.2200,64.5600,64.5700,53.0917,110012000,0.4100
2011-08-31,81.1100,82.5600,66.0600,80.8200,66.0513,159622800,0.0000
2011-07-29,82.2000,87.1210,77.7900,78.5100,64.1634,104200100,0.0000
2011-06-30,85.4998,85.8900,77.8080,82.4500,67.3835,114546500,0.4100
2011-05-31,98.2200,98.3000,82.2500,86.0800,69.9999,113382700,0.0000
2011-04-29,97.6000,99.8000,90.6500,97.5000,79.2866,72172400,0.0000
2011-03-31,90.7500,96.9800,84.2700,96.8900,78.7906,104501100,0.3500
2011-02-28,91.8300,97.3600,86.2300,90.1500,73.0375,95014100,0.0000
2011-01-31,83.9300,91.8900,81.8000,90.9000,73.6452,73538500,0.0000
2010-12-31,75.8900,84.8500,75.2300,83.0500,67.2853,71878800,0.3500
2010-11-30,77.4600,79.6600,74.0600,74.7000,60.2671,80007700,0.0000
2010-10-29,69.1500,78.8900,67.6700,76.8000,61.9613,91116400,0.0000
2010-09-30,64.6900,73.7000,64.4700,69.7800,56.2977,88252100,0.3000
2010-08-31,67.8800,69.4750,60.4500,63.2700,50.8325,103495300,0.0000
2010-07-30,55.9800,67.0900,53.6900,66.6800,53.5721,90413800,0.0000
2010-06-30,57.2200,61.4300,53.9500,55.6800,44.7345,112313000,0.3000
2010-05-28,60.4100,61.6000,52.7300,57.6800,46.1050,119040300,0.0000
2010-04-30,59.9900,63.6800,59.0100,59.8200,47.8155,72655200,0.0000
2010-03-31,57.4500,62.0800,56.7100,59.4600,47.5278,102669800,0.2800
2010-02-26,50.3700,58.0500,48.3300,57.3000,45.5931,100792400,0.0000
2010-01-29,54.7400,60.1600,49.6900,49.9500,39.7448,93988900,0.0000
2009-12-31,54.2500,56.8700,51.6100,54.0900,43.0390,92073100,0.2800
2009-11-30,45.8000,54.1500,45.1900,53.5100,42.3615,113026100,0.0000
